track_id,danceability,energy,valence,tempo,loudness,acousticness
5MrgVJzR1du1gz8XWe4m28,0.332,0.298,0.243,83.555,-14.174,0.875
5auMzVHFr5Zfw6IbKarZ56,0.386,0.452,0.287,169.837,-7.715,0.417
63bmIgH9sS6sX5Sc7MetGq,0.62,0.668,0.183,118.013,-5.719,0.088
3ZjSJv88euP3CdvTg07dZL,0.394,0.281,0.485,90.044,-11.12,0.826
14BMBNRzv24eG6OKoIgPfP,0.59,0.552,0.635,155.101,-10.496,0.654
5pEmeoMUW38w1oU3kPelvR,0.539,0.717,0.212,117.973,-7.385,0.000298
2h3VsZVKQeT0yLNQtCIRjn,0.543,0.138,0.3,115.65,-14.331,0.791
1dcNEEtODRVZEevQ20Cgmy,0.62,0.547,0.208,98.032,-6.772,0.112
6huS9u0BDfeQHq0lObNLPl,0.761,0.311,0.553,109.891,-10.597,0.647
14NiShC5b46yQxBN1mu9VJ,0.674,0.122,0.339,130.014,-17.963,0.882
3DyhwZyBFedvnt68fMi6vf,0.429,0.358,0.187,134.279,-9.076,0.614
6kRZfOZSuoi0Htg6gROKDz,0.456,0.101,0.155,139.896,-11.75,0.876
5e9DrLUUZraUE7mmniufjn,0.647,0.567,0.374,125.871,-8.971,0.0318
2z3HKlpENvfz1Am2MNF2pL,0.322,0.213,0.16,160.389,-14.915,0.611
33JX2be3eKVhl5xk8YQhVc,0.482,0.381,0.42,81.712,-13.93,0.455
29Ns3avs48iQhNQgrHMEkm,0.393,0.207,0.262,163.99,-11.865,0.877
2XDxQ3VzovLzh60zgOaNEi,0.423,0.207,0.209,149.664,-8.811,0.887
0J4sK2VO75cRSVoj0FokQn,0.522,0.152,0.133,144.055,-14.996,0.788
7bpR5j22mNID1pXwgRcZP1,0.547,0.313,0.261,133.737,-7.982,0.612
1U1GtaJeYwGsPgqV9Me5bb,0.504,0.321,0.577,170.134,-13.807,0.149
34p2uL1CvmaHn3uLfOKt8d,0.466,0.161,0.171,139.167,-14.498,0.979
2EKxmYmUdAVXlaHCnnW13o,0.619,0.28,0.292,129.948,-10.238,0.73
1jkBuvWI9IGEz9thXiKOlP,0.596,0.429,0.229,148.086,-10.16,0.775
7K36drJq6lInkW6Kkojucp,0.645,0.169,0.178,167.826,-15.744,0.844
4PuUa8e5s7P3Zv1IdCGIsa,0.522,0.256,0.13,76.349,-11.216,0.86
72SPsHheqN6J3sI520jT9E,0.681,0.168,0.29,128.615,-13.397,0.793
52J3WARiRHMtXbFXUWrVgu,0.736,0.364,0.371,110.023,-5.966,0.741
03VNgdCL9t8aPyvwZecglI,0.451,0.528,0.527,139.28,-6.984,0.366
3M6NL7PxIDZ3ArfPrBUTUP,0.371,0.674,0.92,87.603,-3.72,0.169
7jJH8F3PHlNvxfqEAAfFDl,0.731,0.572,0.947,154.038,-7.889,0.105
6JNEDSev5Tp5VQR04SEBfV,0.69,0.334,0.8,74.721,-5.626,0.947
1gRa1tyGV1GY60QgU5DkQH,0.594,0.307,0.24,94.026,-13.062,0.796
5DUAKXpyv3nL50PnAQbPS0,0.608,0.917,0.936,117.875,-5.341,0.236
6OCsvPU6P84wJ0erggCRv4,0.687,0.494,0.621,93.269,-9.421,0.324
7qJtNgmUyzy3R86vJwk9Wp,0.687,0.494,0.621,93.269,-9.421,0.324
6hy5eqMQ36KAChR1ZZ05zc,0.652,0.15,0.361,104.018,-12.699,0.923
4Gcx0DkgBVticyPDpezwg5,0.765,0.241,0.182,123.95,-8.865,0.873
0fUB9bwvKLRpOB18YZHz5N,0.589,0.249,0.363,150.096,-10.086,0.717
0I0l2Oo5zjpCEphpDJL0Pm,0.588,0.604,0.351,92.02,-7.602,0.343
4v0RBzYNzTknP6d0zN2VQb,0.735,0.203,0.479,113.913,-13.237,0.854
1FQH1FxPwwIj9aKyPBDf9b,0.655,0.147,0.328,116.103,-14.409,0.88
4YgEwanzISFU4xa27saTux,0.363,0.819,0.468,122.527,-3.128,0.0591
7pKMoXeiCv40wbrjII06VO,0.473,0.263,0.315,87.145,-8.609,0.814
5MYPzdIWgx3pMLRGlq2fVq,0.676,0.768,0.493,105.999,-5.695,0.149
2Qw1KFrJ1q6qHXxWGh51kC,0.41,0.221,0.228,139.529,-11.673,0.768
66V40iz2mphPbYvuJVj13i,0.439,0.217,0.373,144.413,-13.166,0.933
4Bo6FwC7Oe9zywSZc6q7hO,0.582,0.347,0.0797,97.957,-14.769,0.317
6Xbi3gOwMal0Ds3ETvBBwe,0.426,0.127,0.149,62.535,-13.287,0.863
6QXolVfFVjUHPp5TVzsjIF,0.696,0.261,0.361,136.053,-12.107,0.737
71ehTADpxs85ULrZgSEKCy,0.549,0.24,0.167,119.58,-7.778,0.947
4zYkSXrfgJyrNkNv3mTiIZ,0.541,0.192,0.317,139.938,-13.995,0.893
1nFJAKHt0jgzVogbNJT3Zz,0.662,0.711,0.352,119.989,-4.924,0.0686
1RZkqIEM5aV000fKgz9J46,0.665,0.185,0.458,82.474,-13.852,0.913
0n3E6m57nDZJDyUHllaMDp,0.591,0.175,0.352,139.902,-12.959,0.927
2gBYjMXW65daBB1elr68JK,0.489,0.183,0.486,79.961,-14.769,0.907
1FF6TogE9ELY71XnLPoEv6,0.618,0.083,0.597,90.865,-23.665,0.745
6G8xunNOicxhPPq9sG2raG,0.664,0.319,0.258,105.036,-8.149,0.862
6LsHKNorX6fPBNcGxU1jQZ,0.408,0.266,0.35,143.651,-12.9,0.875
1uxm47Qn1JhUWZHQfcY6w1,0.623,0.132,0.266,82.105,-13.668,0.893
2nBrIzKacrNdIxs90FlsT1,0.494,0.214,0.35,125.981,-11.041,0.92
5mdjfBsyzl78NQI4sI4IzR,0.374,0.183,0.134,82.042,-13.225,0.897
7mQmu0JSoEyYU763IJXhIA,0.559,0.455,0.396,159.985,-8.937,0.421
08feveJTNL1OMLSrdoHQ6Q,0.642,0.408,0.411,119.81,-8.168,0.729
4ngv7whSPSAwD8ZP3zMHsd,0.48,0.618,0.344,82.051,-7.335,0.844
24UxG3p1Ghtc5ejJtGBoeL,0.271,0.0937,0.147,164.721,-15.035,0.939
4yRlTvPVfEyhXfp6GZurq9,0.594,0.695,0.172,104.977,-8.872,0.19
5xQTEPjGsLuvwnnvyK3fAA,0.574,0.344,0.0987,147.924,-8.995,0.421
3Mq1SOKwAPYgE0ZtPzvWZZ,0.647,0.298,0.31,106.244,-7.91,0.861
38ssTLOvoZyL4CLa4ImDG9,0.486,0.0399,0.155,95.066,-21.56,0.953
0njuNwIyB3DoBHC0SFUkOr,0.734,0.0423,0.14,123.905,-24.831,0.916
5sdliaZjk3rVGuT13UVhxn,0.711,0.231,0.186,125.062,-13.033,0.832
2Dz5WpEWA0vhnMmEPYiZ2y,0.629,0.174,0.305,134.295,-9.697,0.616
5w8Cu20Yt1ZNQuVdcafTYC,0.615,0.406,0.541,166.035,-12.619,0.541
1FHCU1rDAeaPsBW9byjJ0Q,0.503,0.357,0.438,136.135,-9.36,0.727
0x26yM2rrvtoHGRXXzppx3,0.45,0.183,0.219,61.192,-9.003,0.762
0Kt5AHOpQAkEsHAuPeB0le,0.525,0.461,0.202,147.997,-9.489,0.775
07m8PuXxxv5J4qPEDq6ZkK,0.555,0.934,0.422,144.874,-5.04,0.00268
1YjMWOorkBaP4MdKkKtp4y,0.678,0.363,0.543,75.004,-10.9,0.872
0KF5nzdiqZlxVK68MPITst,0.555,0.452,0.321,179.921,-9.636,0.694
1pV4cJaYl9ovK0GcSjH1hy,0.586,0.396,0.16,142.591,-9.953,0.896
